NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
51;2019;3;01;2;6;1;13;1;3;N;N;2;2;;;N;;;;;;;4;07;2;09;4;1;;;2;125.4215
52;2019;3;48;9;6;1;15;1;3;N;N;4;1;;;N;;;;;;;4;04;4;06;4;2;;;2;90.8778
52;2019;3;48;9;1;1;17;1;3;N;N;2;1;;;N;;;;;;;4;04;3;04;4;2;;;1;91.4775
53;2019;3;48;1;1;1;13;1;1;N;N;4;1;1;2;N;;;;;;;1;02;8;04;2;;;40;2;199.821
53;2019;3;48;1;6;1;13;1;1;N;N;4;1;2;2;N;;;;;;;1;02;5;04;4;2;2;15;1;194.5701
54;2019;3;20;9;6;1;10;1;3;N;N;4;1;1;4;N;;;;;;;1;02;4;08;2;;;32;1;117.4654
55;2019;3;48;1;1;1;14;1;2;N;N;2;1;;;N;;;;;;;4;04;3;02;4;2;;;1;283.0697
55;2019;3;48;1;6;1;13;1;3;N;N;4;1;;;N;;;;;;;4;04;3;07;4;2;;;2;221.9796
55;2019;3;48;1;6;1;07;1;3;N;S;4;2;2;2;N;;;;;;;1;02;2;09;4;1;5;17;3;241.9207
56;2019;3;01;2;6;2;14;1;3;N;N;2;1;;;N;;;;;;;4;04;2;09;4;1;;;1;143.3371
56;2019;3;01;2;1;1;14;1;3;N;N;2;1;;;N;;;;;;;4;04;2;09;4;1;;;2;151.8
57;2019;3;20;9;1;2;12;1;1;N;N;4;1;1;4;N;;;;;;;1;02;7;03;2;;;0;1;115.8438
57;2019;3;20;9;6;2;11;1;1;N;N;4;1;;;S;6;2;S;01;99;S;4;04;5;04;4;2;;;2;121.4644
58;2019;3;48;9;6;2;18;1;1;N;N;2;4;;;N;;;;;;;4;07;9;02;4;2;;;1;185.1016
59;2019;3;20;3;6;1;11;1;3;N;N;4;1;2;2;N;;;;;;;1;02;4;04;4;2;1;20;1;138.984
60;2019;3;20;9;1;1;10;1;2;N;N;4;1;1;2;N;;;;;;;1;02;1;02;4;2;1;40;1;175.4823
61;2019;3;20;9;1;3;14;2;1;N;N;2;2;;;N;;;;;;;4;07;3;05;4;2;;;2;109.5752
61;2019;3;20;9;6;1;15;1;1;N;N;2;1;;;N;;;;;;;4;04;5;02;4;2;;;1;114.785
62;2019;3;01;9;1;1;11;1;2;N;N;4;2;1;4;N;;;;;;;1;02;1;02;2;;;0;1;27.3075
62;2019;3;01;9;6;1;04;1;2;S;N;4;2;;;N;;;;;;;4;04;5;04;4;2;;;3;31.9002
62;2019;3;01;9;6;1;11;1;1;N;N;4;1;;;N;;;;;;;4;04;7;10;2;;;;2;30.4453
62;2019;3;01;9;1;1;06;1;3;S;N;4;2;1;4;N;;;;;;;1;02;7;02;4;2;1;0;3;38.6245
62;2019;3;01;9;6;1;05;1;3;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;31.9002
63;2019;3;20;9;1;1;08;1;3;N;N;4;1;1;2;N;;;;;;;1;02;7;02;4;2;1;40;1;152.0601
64;2019;3;48;9;6;1;10;1;1;N;N;4;1;2;2;N;;;;;;;1;02;9;04;4;2;1;18;2;244.7195
64;2019;3;48;9;1;1;11;1;1;N;N;4;1;1;3;N;;;;;;;1;02;8;03;4;2;5;0;1;279.7701
64;2019;3;48;9;6;1;05;1;2;S;N;4;1;;;N;;;;;;;4;04;;;;;;;3;281.5085
64;2019;3;48;9;6;1;04;1;1;S;N;4;3;;;N;;;;;;;4;04;;;;;;;3;281.5085
65;2019;3;01;9;6;1;06;1;2;S;N;4;2;;;S;6;2;S;07;6;S;3;05;;;;;;;4;48.9489
65;2019;3;01;9;6;2;11;1;2;N;N;3;1;;;N;;;;;;;4;04;1;02;4;2;;;3;29.1506
65;2019;3;01;9;1;2;11;1;2;N;N;4;3;1;2;N;;;;;;;1;02;7;02;4;2;1;40;3;25.9276
65;2019;3;01;9;6;2;17;1;1;N;N;4;1;;;N;;;;;;;4;04;;;;;;;1;35.1316
65;2019;3;01;9;1;1;12;1;1;N;N;4;2;1;2;N;;;;;;;1;02;6;01;2;;;40;4;28.2858
65;2019;3;01;9;1;1;13;1;1;N;N;3;4;;;N;;;;;;;4;07;8;02;4;2;;;4;27.5506
65;2019;3;01;9;6;1;12;1;1;N;N;4;1;1;2;N;;;;;;;1;02;9;04;4;1;1;40;4;28.0423
65;2019;3;01;9;6;1;06;1;3;N;N;4;2;;;S;6;2;S;07;9;S;3;06;;;;;;;4;56.5383
66;2019;3;01;9;6;2;14;1;1;N;N;4;1;;;N;;;;;;;4;04;9;02;4;2;;;1;58.8304
67;2019;3;20;9;6;1;17;1;1;N;N;4;1;;;N;;;;;;;4;04;;;;;;;1;155.6016
68;2019;3;20;3;1;2;16;1;2;N;N;2;2;;;N;;;;;;;4;07;3;02;4;2;;;2;102.0329
68;2019;3;20;3;6;2;16;1;2;N;N;2;1;;;N;;;;;;;4;04;4;04;4;1;;;1;107.7603
69;2019;3;48;1;6;2;17;1;1;N;N;4;1;;;N;;;;;;;4;04;9;10;4;2;;;2;159.7162
69;2019;3;48;1;1;2;18;1;1;N;N;2;2;;;N;;;;;;;4;07;9;02;4;2;;;1;160.7701
70;2019;3;48;9;6;1;04;1;2;S;N;4;3;;;N;;;;;;;4;04;;;;;;;3;271.8559
70;2019;3;48;9;1;1;11;1;2;N;N;4;1;1;2;N;;;;;;;1;02;7;02;4;2;1;40;1;233.2278
70;2019;3;48;9;1;1;04;1;2;S;N;4;3;;;N;;;;;;;4;04;;;;;;;3;203.1845
70;2019;3;48;9;6;1;11;1;2;N;N;4;1;2;4;N;;;;;;;1;02;5;04;4;2;2;0;2;241.4796
71;2019;3;20;9;6;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;134.6556
71;2019;3;20;9;1;1;10;1;1;N;N;4;1;1;2;N;;;;;;;1;02;4;02;4;2;1;40;1;135.9333
71;2019;3;20;9;6;1;10;1;2;N;N;4;1;2;2;N;;;;;;;1;02;9;02;4;2;1;30;2;156.4323
72;2019;3;48;9;6;1;16;1;1;N;N;4;1;;;N;;;;;;;4;04;;;;;;;1;177.1763
73;2019;3;01;2;6;1;16;1;1;N;N;4;1;;;N;;;;;;;4;04;9;10;4;2;;;1;210.5688
73;2019;3;01;2;1;1;09;1;1;N;N;4;2;1;2;N;;;;;;;1;02;7;03;4;2;1;40;3;175.6832
74;2019;3;20;9;6;2;10;1;2;N;N;4;1;;;N;;;;;;;4;04;5;04;4;2;;;1;155.1403
74;2019;3;20;9;1;1;05;1;2;S;N;4;4;;;N;;;;;;;4;04;;;;;;;3;142.4285
74;2019;3;20;9;6;1;04;1;2;S;N;4;4;;;N;;;;;;;4;04;;;;;;;3;136.3105
75;2019;3;01;9;6;2;15;1;1;N;N;4;1;;;N;;;;;;;4;04;9;08;4;2;;;2;36.2973
75;2019;3;01;9;1;2;15;1;1;N;N;2;2;;;N;;;;;;;4;07;9;02;4;2;;;1;38.4403
76;2019;3;48;9;6;2;14;1;1;N;N;4;1;;;N;;;;;;;4;04;7;02;4;2;;;1;166.1705
76;2019;3;48;9;1;1;14;1;1;N;N;2;4;;;N;;;;;;;4;07;7;03;4;2;;;2;167.267
77;2019;3;01;2;6;2;14;1;1;N;N;2;1;;;N;;;;;;;4;04;5;09;4;1;;;2;129.8414
77;2019;3;01;2;1;1;14;1;1;N;N;2;3;;;N;;;;;;;4;07;7;03;4;2;;;1;137.5075
78;2019;3;01;2;6;1;04;1;1;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;213.0587
78;2019;3;01;2;1;1;12;1;2;N;N;4;1;1;4;N;;;;;;;1;02;7;03;4;2;5;0;1;165.634
78;2019;3;01;2;1;1;05;1;2;S;N;4;1;;;N;;;;;;;4;04;;;;;;;3;177.7575
78;2019;3;01;2;6;1;11;1;2;N;N;4;1;1;4;N;;;;;;;1;02;4;08;4;2;1;0;2;182.2603
79;2019;3;20;3;6;1;13;1;2;N;N;3;2;;;N;;;;;;;4;07;3;06;4;2;;;2;124.2151
79;2019;3;20;3;1;1;17;1;3;N;N;2;1;;;N;;;;;;;4;04;1;07;4;2;;;1;150.5962
80;2019;3;48;9;1;1;09;1;2;N;N;4;1;1;4;N;;;;;;;1;02;1;01;4;2;5;32;1;136.5845
81;2019;3;48;1;1;1;14;1;3;N;N;2;1;;;N;;;;;;;4;04;1;02;1;;;;2;162.4672
81;2019;3;48;1;6;1;14;1;2;N;N;4;1;;;N;;;;;;;4;04;2;08;2;;;;1;161.4021
82;2019;3;48;1;6;1;14;1;2;N;N;2;1;;;N;;;;;;;4;04;2;09;4;1;;;2;256.4182
82;2019;3;48;1;1;1;15;1;3;N;N;2;1;;;N;;;;;;;4;04;4;09;4;1;;;1;258.1102
82;2019;3;48;1;6;1;07;1;2;N;N;4;1;1;4;N;;;;;;;1;02;2;08;2;;;0;3;234.3692
83;2019;3;20;9;6;1;13;1;2;N;N;4;1;1;2;N;;;;;;;1;02;4;09;4;1;1;40;2;127.7018
83;2019;3;20;9;6;1;07;1;3;N;S;4;1;2;2;N;;;;;;;1;02;4;08;4;2;5;20;3;198.0393
83;2019;3;20;9;1;1;13;1;2;N;N;2;1;;;N;;;;;;;4;04;5;09;4;1;;;1;164.7932
84;2019;3;48;9;6;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;240.3758
84;2019;3;48;9;1;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;238.4217
84;2019;3;48;9;6;1;09;1;3;N;N;4;1;1;2;N;;;;;;;1;02;4;08;4;2;1;40;2;253.682
84;2019;3;48;9;1;1;10;1;2;N;N;4;1;1;2;N;;;;;;;1;02;3;02;4;2;1;40;1;220.6182
85;2019;3;20;9;1;1;01;1;;N;;;;;;;;;;;;;;;;;;;;;4;187.9417
85;2019;3;20;9;6;1;08;1;3;N;N;4;2;1;2;N;;;;;;;1;02;3;09;4;1;5;28;3;202.1169
85;2019;3;20;9;6;1;07;1;2;N;N;4;2;2;4;N;;;;;;;1;02;5;04;4;2;1;28;3;228.7407
85;2019;3;20;9;1;1;07;1;3;N;N;4;2;1;4;N;;;;;;;1;02;7;04;4;2;5;32;4;230.403
85;2019;3;20;9;1;1;15;1;1;N;N;2;4;;;N;;;;;;;4;07;7;02;4;2;;;1;246.6828
85;2019;3;20;9;6;1;14;1;1;N;N;4;1;;;N;;;;;;;4;04;7;02;4;2;;;2;260.5298
86;2019;3;48;9;6;2;12;1;1;N;N;4;1;1;3;N;;;;;;;1;02;5;04;2;;;0;1;190.9481
86;2019;3;48;9;1;1;12;1;1;S;N;3;2;;;N;;;;;;;4;07;8;04;4;1;;;2;200.6694
87;2019;3;20;3;1;2;10;1;1;N;N;4;1;1;2;N;;;;;;;1;02;9;08;4;2;1;40;1;123.7987
88;2019;3;20;9;1;1;13;1;1;N;N;2;2;;;N;;;;;;;4;07;7;04;4;2;;;1;136.4398
88;2019;3;20;9;6;1;13;1;1;N;N;4;1;2;4;N;;;;;;;1;02;5;09;4;2;1;0;2;106.7907
89;2019;3;48;9;6;1;17;1;1;N;N;4;1;;;N;;;;;;;4;04;;;;;;;1;89.5648
90;2019;3;48;9;6;1;12;1;3;N;N;4;1;1;2;N;;;;;;;1;02;1;02;2;;;40;2;109.0639
90;2019;3;48;9;1;1;06;1;3;N;N;4;2;1;2;N;;;;;;;1;02;2;02;3;;;40;3;141.4782
90;2019;3;48;9;1;1;13;1;2;N;N;4;1;2;5;N;;;;;;;1;02;7;02;4;2;5;0;1;97.9589
91;2019;3;48;9;1;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;207.299
91;2019;3;48;9;6;1;09;1;1;N;N;4;1;;;S;6;3;S;07;36;S;2;05;9;08;4;2;;;1;203.0579
92;2019;3;01;9;6;1;18;1;1;N;N;2;4;;;N;;;;;;;4;07;6;01;2;;;;1;30.4744
93;2019;3;20;9;1;2;15;1;1;N;N;2;2;;;N;;;;;;;4;07;5;09;4;1;;;1;124.1892
93;2019;3;20;9;6;2;14;1;1;N;N;2;1;;;N;;;;;;;4;04;9;08;4;2;;;2;131.1603
94;2019;3;48;9;6;2;17;1;1;N;N;4;1;;;N;;;;;;;4;04;5;09;4;2;;;1;187.6106
95;2019;3;01;9;6;3;03;1;2;S;N;4;2;;;N;;;;;;;;;;;;;;;3;46.5474
95;2019;3;01;9;6;2;11;1;2;N;N;4;1;;;N;;;;;;;4;04;9;09;4;2;;;2;49.173
95;2019;3;01;9;1;1;12;1;2;N;N;4;2;1;2;N;;;;;;;1;01;1;04;2;;;60;1;39.5691
96;2019;3;48;9;6;1;03;1;1;S;N;4;2;;;N;;;;;;;;;;;;;;;3;249.8878
96;2019;3;48;9;6;1;10;1;2;N;N;4;1;1;2;N;;;;;;;1;02;5;10;1;;;40;2;248.3058
96;2019;3;48;9;1;1;10;1;2;N;N;4;1;1;4;N;;;;;;;1;02;4;04;4;2;1;0;1;237.6351
96;2019;3;48;9;1;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;247.8563
