Party,Year,Variables,Values,locality,division
KPL,2018,Suffrages total,8448,Centre,Electoral district
KPL,2018,Suffrages de liste,6174,Centre,Electoral district
KPL,2018,Suffrages nominatifs,2274,Centre,Electoral district
KPL,2018,Nombre de mandats attribués,0,Centre,Electoral district
DP,2018,Pourcentage,0.241725377178185,Centre,Electoral district
DP,2018,BETTEL Xavier (1),30774,Centre,Electoral district
DP,2018,CAHEN Corinne (2),19471,Centre,Electoral district
DP,2018,POLFER Lydie (19),18934,Centre,Electoral district
DP,2018,BEISSEL Simone (4),14630,Centre,Electoral district
DP,2018,ARENDT Guy (3),13931,Centre,Electoral district
DP,2018,COLABIANCHI Frank (7),13486,Centre,Electoral district
DP,2018,ELVINGER Joëlle (12),13199,Centre,Electoral district
DP,2018,LAMBERTY Claude (16),13043,Centre,Electoral district
DP,2018,GOLDSCHMIDT Patrick (14),11955,Centre,Electoral district
DP,2018,BOCK Héloïse (5),11617,Centre,Electoral district
DP,2018,MALHERBE Michel (17),11460,Centre,Electoral district
DP,2018,WIRTZ Jeff (20),11373,Centre,Electoral district
DP,2018,FISCHER Marc (13),11318,Centre,Electoral district
DP,2018,DIESCHBURG-NICKELS Martine (11),11197,Centre,Electoral district
DP,2018,DEGROTT Jana (9),10977,Centre,Electoral district
DP,2018,DE JAGER Tania (8),10825,Centre,Electoral district
DP,2018,OBERTIN Stéphanie (18),10797,Centre,Electoral district
DP,2018,WURTH Nicolas (21),10520,Centre,Electoral district
DP,2018,CAMARDA Sylvia (6),10454,Centre,Electoral district
DP,2018,DEUTSCH Françoise ép. DUPONT (10),10414,Centre,Electoral district
DP,2018,HOUWEN Marco (15),9769,Centre,Electoral district
DP,2018,Suffrages total,280144,Centre,Electoral district
DP,2018,Suffrages de liste,167391,Centre,Electoral district
DP,2018,Suffrages nominatifs,112753,Centre,Electoral district
DP,2018,Nombre de mandats attribués,5,Centre,Electoral district
ADR,2018,Pourcentage,0.0683032266693128,Centre,Electoral district
ADR,2018,REDING Roy (1),6319,Centre,Electoral district
ADR,2018,PENNING Alex (15),4237,Centre,Electoral district
ADR,2018,ADAMY Marc (2),4089,Centre,Electoral district
ADR,2018,HARDY Daniel (10),3974,Centre,Electoral district
ADR,2018,DA MOTA Daniel (6),3939,Centre,Electoral district
ADR,2018,BINTZ Claude (4),3897,Centre,Electoral district
ADR,2018,DAUBENFELD Mario (7),3877,Centre,Electoral district
ADR,2018,STOFFEL Véronique dite Nicky (20),3815,Centre,Electoral district
ADR,2018,AHLES Thérèse dite Thessy (3),3710,Centre,Electoral district
ADR,2018,GOERGEN Marceline (9),3682,Centre,Electoral district
ADR,2018,JUNG Tessy (11),3579,Centre,Electoral district
ADR,2018,PHILIPP Gérard (16),3540,Centre,Electoral district
ADR,2018,WELTER Lucien (21),3502,Centre,Electoral district
ADR,2018,CLÉMENT Béatrice (5),3466,Centre,Electoral district
ADR,2018,FABER-SCHANEN Marie-Andrée (8),3438,Centre,Electoral district
ADR,2018,REDING Felix (17),3426,Centre,Electoral district
ADR,2018,MOES René (13),3370,Centre,Electoral district
ADR,2018,MÜLLER-TROTSENKO Nadejda (14),3367,Centre,Electoral district
ADR,2018,RINCK Daniel (18),3364,Centre,Electoral district
ADR,2018,MARINKOVIC Jelena (12),3351,Centre,Electoral district
ADR,2018,SOULTANOVA Goulnora (19),3217,Centre,Electoral district
ADR,2018,Suffrages total,79159,Centre,Electoral district
ADR,2018,Suffrages de liste,60123,Centre,Electoral district
ADR,2018,Suffrages nominatifs,19036,Centre,Electoral district
ADR,2018,Nombre de mandats attribués,1,Centre,Electoral district
déi Lénk,2018,Pourcentage,0.0571671405212544,Centre,Electoral district
déi Lénk,2018,WAGNER David (1),8988,Centre,Electoral district
déi Lénk,2018,OBERWEIS Nathalie (3),4561,Centre,Electoral district
déi Lénk,2018,CORREIA DA VEIGA Ana (2),4032,Centre,Electoral district
déi Lénk,2018,ERPELDING Michel (4),3483,Centre,Electoral district
déi Lénk,2018,DELVAUX Joël (7),3364,Centre,Electoral district
déi Lénk,2018,FOETZ Guy (9),3338,Centre,Electoral district
déi Lénk,2018,GASHONGA Sandrine (11),2908,Centre,Electoral district
