NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
84;2021;1;48;9;6;1;14;1;2;N;N;2;1;;;N;;;;;;;4;04;5;09;4;2;;;2;168,82180
84;2021;1;48;9;1;3;14;1;3;N;N;2;1;;;N;;;;;;;4;04;2;09;4;2;;;1;169,66370
85;2021;1;20;3;1;2;16;1;2;N;N;2;1;;;N;;;;;;;4;04;4;02;4;2;;;1;113,30190
86;2021;1;48;9;6;1;12;1;2;N;N;4;1;1;4;N;;;;;;;1;02;4;07;4;2;1;32;2;150,84480
86;2021;1;48;9;1;1;13;1;2;N;N;4;1;2;5;N;;;;;;;1;02;7;02;4;2;5;0;1;182,20530
87;2021;1;20;9;1;1;01;1;;N;;;;;;;;;;;;;;;;;;;;;3;137,47630
87;2021;1;20;9;6;1;06;1;3;N;N;1;1;1;5;N;;;;;;;1;02;2;05;4;2;1;0;2;159,62340
87;2021;1;20;9;1;1;06;1;2;N;N;4;1;1;2;N;;;;;;;1;02;7;02;4;2;1;40;1;174,81750
88;2021;1;48;9;1;3;06;2;2;N;N;4;2;1;2;N;;;;;;;1;02;7;04;4;2;5;40;3;310,77600
88;2021;1;48;9;6;3;03;2;;S;;;;;;;;;;;;;;;;;;;;;3;288,34370
88;2021;1;48;9;6;3;11;2;2;N;N;4;1;2;2;N;;;;;;;1;01;9;10;4;2;5;45;1;254,16470
89;2021;1;01;9;6;1;08;1;3;N;S;4;1;1;2;N;;;;;;;1;02;4;09;4;1;5;35;1;72,16770
89;2021;1;01;9;6;1;01;1;;N;;;;;;;;;;;;;;;;;;;;;3;57,04410
89;2021;1;01;9;1;1;08;1;3;N;N;4;1;1;2;N;;;;;;;1;02;3;05;4;2;1;35;2;72,76770
90;2021;1;01;9;1;1;11;1;2;N;N;3;1;;;N;;;;;;;4;04;7;02;4;2;;;2;92,19370
90;2021;1;01;9;1;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;82,67030
90;2021;1;01;9;6;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;67,94570
90;2021;1;01;9;6;1;11;1;2;N;N;4;1;1;2;N;;;;;;;1;02;5;04;3;;;40;1;83,84320
91;2021;1;48;9;6;1;12;1;1;N;N;4;1;1;2;N;;;;;;;1;02;9;08;4;2;1;40;1;161,30210
91;2021;1;48;9;1;1;12;1;2;N;N;4;1;1;2;N;;;;;;;1;02;8;04;4;2;1;40;2;177,12180
92;2021;1;20;9;6;1;04;1;2;S;N;4;3;;;N;;;;;;;4;04;;;;;;;3;179,05210
92;2021;1;20;9;6;1;11;1;1;N;N;4;1;1;2;N;;;;;;;1;02;8;02;3;;;40;2;157,02680
