NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
71;2019;2;48;9;1;1;15;1;1;N;N;2;4;;;N;;;;;;;4;07;8;02;4;2;;;1;295.5267
72;2019;2;01;9;6;1;18;1;1;N;N;2;4;;;N;;;;;;;4;07;6;01;2;;;;2;58.1248
72;2019;2;01;9;1;1;05;1;2;N;N;4;2;1;2;N;;;;;;;1;02;6;01;2;;;40;4;62.451
72;2019;2;01;9;1;1;14;1;1;N;N;2;2;;;N;;;;;;;4;07;6;01;2;;;;4;57.1531
72;2019;2;01;9;1;1;18;1;1;N;N;2;4;;;N;;;;;;;4;07;6;01;2;;;;1;57.1531
72;2019;2;01;9;6;1;13;1;1;N;N;4;1;1;3;N;;;;;;;1;02;6;01;2;;;0;3;47.0014
73;2019;2;48;9;1;1;10;1;2;N;N;4;1;1;2;N;;;;;;;1;02;1;04;2;;;42;1;196.1404
74;2019;2;48;9;1;2;13;1;1;N;N;4;1;;;N;;;;;;;4;04;5;04;4;2;;;1;252.5997
74;2019;2;48;9;1;1;07;1;3;N;N;4;2;2;2;N;;;;;;;1;02;3;09;4;2;5;20;3;232.8101
74;2019;2;48;9;6;2;13;1;1;N;N;4;1;2;2;N;;;;;;;1;02;9;10;4;2;1;15;2;181.8515
75;2019;2;48;9;6;1;11;1;1;N;N;4;1;;;N;;;;;;;4;04;5;04;4;2;;;1;275.1126
76;2019;2;48;1;6;1;08;1;3;N;S;4;1;1;4;N;;;;;;;1;02;2;09;4;1;1;28;2;242.4353
76;2019;2;48;1;1;1;08;1;3;N;N;4;1;1;4;N;;;;;;;1;02;2;08;4;2;1;32;1;286.0152
76;2019;2;48;1;6;1;01;1;;N;;;;;;;;;;;;;;;;;;;;;3;232.1066
77;2019;2;01;9;6;1;13;1;2;N;N;4;1;;;N;;;;;;;4;04;;;;;;;1;35.1181
78;2019;2;48;9;1;3;10;2;2;N;N;4;1;2;2;S;3;3;S;01;15;S;1;02;5;10;4;2;1;25;1;214.7161
79;2019;2;48;9;1;1;01;1;;N;;;;;;;;;;;;;;;;;;;;;4;248.7793
79;2019;2;48;9;6;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;248.1052
79;2019;2;48;9;6;1;06;1;2;N;N;4;1;1;3;N;;;;;;;1;02;5;04;5;;;0;3;264.965
79;2019;2;48;9;6;1;10;1;1;N;N;4;1;;;S;6;2;S;05;1;S;2;05;5;04;4;2;;;1;258.5146
80;2019;2;48;9;1;1;08;1;1;N;N;4;1;1;2;N;;;;;;;1;02;7;02;4;2;1;40;1;213.7241
81;2019;2;48;9;6;2;18;1;1;N;N;2;1;;;N;;;;;;;4;04;7;02;4;2;;;1;91.8396
82;2019;2;48;9;1;1;10;1;3;N;N;4;1;1;2;N;;;;;;;1;02;3;02;4;2;1;40;1;197.6203
83;2019;2;48;9;6;1;15;1;3;N;N;2;1;;;N;;;;;;;4;04;3;10;4;2;;;1;207.5747
84;2019;2;20;9;1;1;12;1;3;N;N;4;1;1;2;N;;;;;;;1;02;2;08;4;2;1;40;1;125.0449
85;2019;2;01;9;1;1;07;1;3;N;N;4;1;1;2;N;;;;;;;1;02;8;06;4;2;1;40;2;78.707
85;2019;2;01;9;6;1;08;1;1;N;S;4;2;1;2;N;;;;;;;1;02;5;04;4;2;1;40;1;39.9662
86;2019;2;01;9;1;1;10;1;2;N;N;4;1;1;2;N;;;;;;;1;02;3;02;4;2;1;40;2;32.0337
86;2019;2;01;9;6;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;32.7783
86;2019;2;01;9;6;1;10;1;2;N;N;4;1;1;3;N;;;;;;;1;02;4;02;4;2;1;26;1;33.943
87;2019;2;48;9;6;3;07;2;2;N;N;4;4;1;2;N;;;;;;;1;02;3;10;4;2;2;40;2;287.4337
87;2019;2;48;9;1;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;242.9968
87;2019;2;48;9;1;3;09;2;2;N;N;4;2;2;2;N;;;;;;;1;02;2;09;2;;;20;1;324.7849
87;2019;2;48;9;1;1;01;1;;N;;;;;;;;;;;;;;;;;;;;;3;242.9968
88;2019;2;01;9;1;2;13;1;1;N;N;4;1;1;2;N;;;;;;;1;02;9;04;4;2;1;40;1;55.3996
88;2019;2;01;9;6;1;12;1;2;N;N;4;1;1;2;N;;;;;;;1;02;3;04;4;2;1;40;2;61.9866
88;2019;2;01;9;1;1;07;1;2;N;N;4;2;1;2;N;;;;;;;1;02;9;02;4;2;5;40;3;91.3289
88;2019;2;01;9;1;1;06;1;2;N;N;4;2;1;2;N;;;;;;;1;02;8;02;4;2;1;40;3;81.8075
89;2019;2;20;9;6;1;08;1;3;N;N;4;1;1;2;N;;;;;;;1;02;4;08;4;2;1;40;1;156.9808
89;2019;2;20;9;1;1;08;1;3;N;N;4;1;1;2;N;;;;;;;1;02;3;02;4;2;1;40;2;155.4056
90;2019;2;48;9;1;1;14;1;2;N;N;2;1;;;N;;;;;;;4;04;2;05;2;;;;1;174.893
91;2019;2;20;9;6;1;06;1;2;N;N;4;1;1;2;N;;;;;;;1;02;4;02;4;2;3;40;2;149.2878
91;2019;2;20;9;1;1;06;1;3;N;N;4;1;1;2;N;;;;;;;1;02;2;02;4;2;1;40;1;167.3573
92;2019;2;48;9;6;1;17;1;1;N;N;2;1;;;N;;;;;;;4;04;8;02;4;2;;;2;126.3794
92;2019;2;48;9;1;1;17;1;1;N;N;2;3;;;N;;;;;;;4;07;7;02;4;2;;;1;121.3358
93;2019;2;20;9;6;2;13;1;1;N;N;4;1;;;N;;;;;;;4;04;9;02;4;2;;;2;187.6289
93;2019;2;20;9;1;2;14;1;1;N;N;2;3;;;N;;;;;;;4;07;7;02;4;2;;;1;182.4304
93;2019;2;20;9;1;1;09;1;2;N;N;4;3;1;2;N;;;;;;;1;02;8;02;4;2;1;40;3;185.7942
94;2019;2;48;1;1;1;14;1;2;N;N;2;3;;;N;;;;;;;4;07;1;06;4;2;;;2;240.742
94;2019;2;48;1;6;1;14;1;2;N;N;4;1;;;N;;;;;;;4;04;3;04;4;2;;;1;250.7491
94;2019;2;48;1;6;1;09;1;2;N;N;4;2;;;S;6;2;S;07;36;S;2;06;5;09;4;2;;;3;205.1514
95;2019;2;48;9;6;3;06;2;3;N;N;4;1;2;2;N;;;;;;;1;02;5;04;4;2;5;28;3;233.9991
95;2019;2;48;9;6;3;06;2;2;N;N;4;1;1;2;S;4;1;S;07;99;S;1;02;9;10;4;2;5;40;3;280.5708
